Name,City,Country,IATAFAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST
Hartsfield Jackson Atlanta Intl,"Atlanta",United States,ATL,KATL,33.636719,-84.428067,1026,-5,A
Chicago Ohare Intl,"Chicago",United States,ORD,KORD,41.978603,-87.904842,668,-6,A
Los Angeles Intl,"Los Angeles",United States,LAX,KLAX,33.942536,-118.408075,126,-8,A
Dallas Fort Worth Intl,"Dallas-fort Worth",United States,DFW,KDFW,32.896828,-97.037997,607,-6,A
Denver Intl,"Denver",United States,DEN,KDEN,39.861656,-104.673178,5431,-7,A
John F Kennedy Intl,"New York",United States,JFK,KJFK,40.639751,-73.778925,13,-5,A
George Bush Intcntl Houston,"Houston",United States,IAH,KIAH,29.984433,-95.341442,97,-6,A
San Francisco Intl,"San Francisco",United States,SFO,KSFO,37.618972,-122.374889,13,-8,A
Mc Carran Intl,"Las Vegas",United States,LAS,KLAS,36.080056,-115.15225,2141,-8,A
Phoenix Sky Harbor Intl,"Phoenix",United States,PHX,KPHX,33.434278,-112.011583,1135,-7,N
Charlotte Douglas Intl,"Charlotte",United States,CLT,KCLT,35.214,-80.943139,748,-5,A
Orlando Intl,"Orlando",United States,MCO,KMCO,28.429394,-81.308994,96,-5,A
Miami Intl,"Miami",United States,MIA,KMIA,25.79325,-80.290556,8,-5,A
Newark Liberty Intl,"Newark",United States,EWR,KEWR,40.6925,-74.168667,18,-5,A
Detroit Metro Wayne Co,"Detroit",United States,DTW,KDTW,42.212444,-83.353389,645,-5,A
Minneapolis St Paul Intl,"Minneapolis",United States,MSP,KMSP,44.881956,-93.221767,841,-6,A
Seattle Tacoma Intl,"Seattle",United States,SEA,KSEA,47.449,-122.309306,433,-8,A
Philadelphia Intl,"Philadelphia",United States,PHL,KPHL,39.871944,-75.241139,36,-5,A
General Edward Lawrence Logan Intl,"Boston",United States,BOS,KBOS,42.364347,-71.005181,19,-5,A
La Guardia,"New York",United States,LGA,KLGA,40.777245,-73.872608,22,-5,A
Washington Dulles Intl,"Washington",United States,IAD,KIAD,38.944533,-77.455811,313,-5,A
Fort Lauderdale Hollywood Intl,"Fort Lauderdale",United States,FLL,KFLL,26.072583,-80.15275,9,-5,A
Baltimore Washington Intl,"Baltimore",United States,BWI,KBWI,39.175361,-76.668333,146,-5,A
Salt Lake City Intl,"Salt Lake City",United States,SLC,KSLC,40.788389,-111.977772,4227,-7,A
Ronald Reagan Washington Natl,"Washington",United States,DCA,KDCA,38.852083,-77.037722,15,-5,A
Honolulu Intl,"Honolulu",United States,HNL,PHNL,21.318681,-157.922428,13,-10,N
Chicago Midway Intl,"Chicago",United States,MDW,KMDW,41.785972,-87.752417,620,-6,A
San Diego Intl,"San Diego",United States,SAN,KSAN,32.733556,-117.189667,17,-8,A
Tampa Intl,"Tampa",United States,TPA,KTPA,27.975472,-82.53325,26,-5,A
Portland Intl,"Portland",United States,PDX,KPDX,45.588722,-122.5975,30,-8,A
Heathrow,"London",United Kingdom,LHR,EGLL,51.4775,-0.461389,83,0,E
Lambert St Louis Intl,"St. Louis",United States,STL,KSTL,38.748697,-90.370028,618,-6,A
Kansas City Intl,"Kansas City",United States,MCI,KMCI,39.297606,-94.713905,1026,-6,A
Memphis Intl,"Memphis",United States,MEM,KMEM,35.042417,-89.976667,341,-6,A
General Mitchell Intl,"Milwaukee",United States,MKE,KMKE,42.947222,-87.896583,723,-6,A
Metropolitan Oakland Intl,"Oakland",United States,OAK,KOAK,37.721278,-122.220722,9,-8,A
Cleveland Hopkins Intl,"Cleveland",United States,CLE,KCLE,41.411689,-81.849794,791,-5,A
Raleigh Durham Intl,"Raleigh-durham",United States,RDU,KRDU,35.877639,-78.787472,435,-5,A
Nashville Intl,"Nashville",United States,BNA,KBNA,36.124472,-86.678194,599,-6,A
Sacramento Intl,"Sacramento",United States,SMF,KSMF,38.695417,-121.590778,27,-8,A
William P Hobby,"Houston",United States,HOU,KHOU,29.645419,-95.278889,46,-6,A
John Wayne Arpt Orange Co,"Santa Ana",United States,SNA,KSNA,33.675667,-117.868222,56,-8,A
Luis Munoz Marin Intl,"San Juan",Puerto Rico,SJU,TJSJ,18.439417,-66.001833,9,-4,U
Lester B Pearson Intl,"Toronto",Canada,YYZ,CYYZ,43.677223,-79.630556,569,-5,A
Austin Bergstrom Intl,"Austin",United States,AUS,KAUS,30.194528,-97.669889,542,-6,A
Louis Armstrong New Orleans Intl,"New Orleans",United States,MSY,KMSY,29.993389,-90.258028,4,-6,A
Narita Intl,"Tokyo",Japan,NRT,RJAA,35.764722,140.386389,141,9,U
Norman Y Mineta San Jose Intl,"San Jose",United States,SJC,KSJC,37.3626,-121.929022,62,-8,A
Pittsburgh Intl,"Pittsburgh (pennsylva)",United States,PIT,KPIT,40.491467,-80.232872,1204,-5,A
San Antonio Intl,"San Antonio",United States,SAT,KSAT,29.533694,-98.469778,809,-6,A
Cincinnati Northern Kentucky Intl,"Cincinnati",United States,CVG,KCVG,39.048836,-84.667822,896,-5,A
Dallas Love Fld,"Dallas",United States,DAL,KDAL,32.847111,-96.851778,487,-6,A
Indianapolis Intl,"Indianapolis",United States,IND,KIND,39.717331,-86.294383,797,-5,A
Southwest Florida Intl,"Fort Myers",United States,RSW,KRSW,26.536167,-81.755167,30,-5,A
Port Columbus Intl,"Columbus",United States,CMH,KCMH,39.997972,-82.891889,815,-5,A
Frankfurt Main,"Frankfurt",Germany,FRA,EDDF,50.026421,8.543125,364,1,E
Palm Beach Intl,"West Palm Beach",United States,PBI,KPBI,26.683161,-80.095589,19,-5,A
Charles De Gaulle,"Paris",France,CDG,LFPG,49.012779,2.55,392,1,E
